,Timestamp,YEAR,DOY,HR,Scalar_B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Proton_Density,SW_Plasma_Temperature,SW_Plasma_Speed,Dst-index
150,1999-7-6,1999,7,6,6.2,4.316,-3.617,-0.422,-3.591,-0.535,5.688,185750.0,480.45,-4.0
151,1999-7-7,1999,7,7,6.309,5.768,-1.469,0.515,-1.468,0.516,5.894,186980.0,466.43,-3.0
152,1999-7-8,1999,7,8,6.617,5.455,0.762,-0.886,0.724,-0.907,6.097,188270.0,469.36,-8.0
153,1999-7-9,1999,7,9,6.971,6.096,-1.687,2.406,-1.523,2.515,6.071,197680.0,465.79,-8.0
154,1999-7-10,1999,7,10,6.916,6.297,-1.299,0.748,-1.239,0.843,6.162,191050.0,451.54,-6.0
155,1999-7-11,1999,7,11,6.688,3.834,-1.777,-2.647,-1.959,-2.515,5.529,194090.0,461.18,-5.0
156,1999-7-12,1999,7,12,6.827,3.774,-3.622,1.879,-3.521,2.057,5.688,207350.0,477.31,-4.0
157,1999-7-13,1999,7,13,7.26,0.757,-5.062,0.501,-5.056,0.618,5.427,221650.0,501.46,-6.0
158,1999-7-14,1999,7,14,7.487,0.35,-6.336,0.989,-6.347,0.89,5.116,215670.0,503.07,-12.0
159,1999-7-15,1999,7,15,7.573,1.16,-6.217,-0.727,-6.151,-1.087,5.368,199830.0,495.8,-12.0
160,1999-7-16,1999,7,16,7.905,3.471,-5.607,1.07,-5.699,0.472,5.01,197880.0,481.49,-11.0
161,1999-7-17,1999,7,17,8.034,3.626,-5.844,-0.203,-5.748,-1.106,5.666,193010.0,479.68,-14.0
162,1999-7-18,1999,7,18,8.358,3.639,-6.281,1.68,-6.5,0.358,6.459,159970.0,469.74,-13.0
163,1999-7-19,1999,7,19,8.891,2.621,-5.67,-0.798,-5.268,-2.114,6.831,149450.0,472.72,-10.0
164,1999-7-20,1999,7,20,9.414,3.938,-5.953,2.001,-6.28,0.242,7.496,131580.0,457.35,-6.0
165,1999-7-21,1999,7,21,9.688,2.96,-8.178,2.68,-8.61,0.074,7.11,119650.0,454.63,-8.0
166,1999-7-22,1999,7,22,10.04,4.398,-7.28,-0.667,-6.686,-2.94,7.101,106510.0,445.02,-12.0
167,1999-7-23,1999,7,23,9.674,5.106,-6.994,0.738,-6.863,-1.54,5.951,83601.0,438.52,-11.0
168,1999-8-0,1999,8,0,9.257,4.467,-1.697,-6.591,0.429,-6.791,6.437,102920.0,455.82,-12.0
169,1999-8-1,1999,8,1,9.183,6.897,-4.584,0.598,-4.565,-0.734,6.493,92690.0,433.08,-11.0
170,1999-8-2,1999,8,2,8.663,7.516,-1.037,-0.505,-0.866,-0.732,6.61,101850.0,429.59,-8.0
171,1999-8-3,1999,8,3,7.443,4.376,-2.257,0.39,-2.282,-0.068,6.859,171270.0,465.75,-5.0
172,1999-8-4,1999,8,4,7.33,3.026,-5.807,-1.295,-5.541,-2.148,6.809,194500.0,481.2,-9.0
173,1999-8-5,1999,8,5,7.683,3.492,-5.788,0.14,-5.772,-0.386,6.661,186110.0,474.21,-9.0
174,1999-8-6,1999,8,6,8.197,4.105,-6.293,0.502,-6.312,0.24,6.7,176780.0,467.39,-11.0
175,1999-8-7,1999,8,7,8.268,2.371,-4.565,-4.612,-4.584,-4.601,7.431,173650.0,478.74,-9.0
176,1999-8-8,1999,8,8,9.026,3.724,-6.311,0.268,-6.293,0.528,6.737,159290.0,473.54,-9.0
177,1999-8-9,1999,8,9,9.195,5.422,-5.554,-1.307,-5.63,-0.978,7.178,160500.0,460.18,-8.0
178,1999-8-10,1999,8,10,9.156,7.917,-2.116,-0.681,-2.158,-0.537,9.367,165190.0,457.77,-2.0
179,1999-8-11,1999,8,11,11.169,7.916,-4.69,2.364,-4.535,2.649,9.942,184260.0,462.26,3.0
180,1999-8-12,1999,8,12,12.321,9.61,-2.88,1.873,-2.794,2.028,12.299,163990.0,455.95,-1.0
181,1999-8-13,1999,8,13,11.596,9.764,-3.123,-1.398,-3.139,-1.361,11.392,163360.0,442.48,-15.0
182,1999-8-14,1999,8,14,12.925,1.537,-10.758,1.004,-10.795,0.745,8.75,186150.0,470.82,-15.0
183,1999-8-15,1999,8,15,12.58,6.364,-5.762,-6.399,-5.333,-6.74,9.876,176770.0,447.18,-15.0
184,1999-8-16,1999,8,16,10.808,6.227,-4.002,-3.919,-3.537,-4.382,10.287,168620.0,444.27,-15.0
185,1999-8-17,1999,8,17,9.981,4.364,-7.095,-1.827,-6.7,-2.944,8.148,187170.0,448.9,-17.0
186,1999-8-18,1999,8,18,8.893,5.764,-2.711,-4.683,-1.662,-5.134,7.435,131860.0,440.16,-16.0
187,1999-8-19,1999,8,19,8.107,6.763,-2.282,-0.879,-2.012,-1.417,6.453,120360.0,429.31,-17.0
188,1999-8-20,1999,8,20,8.325,3.938,-2.646,3.577,-3.575,2.663,4.308,115610.0,452.37,-22.0
